Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
OCORRÊNCIAS DE PORTE DE ENTORPECENTES;9;9;12;6;...;...;...;...;...;...;...;...;36;
OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES;43;51;50;38;...;...;...;...;...;...;...;...;182;
OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1);7;14;11;16;...;...;...;...;...;...;...;...;48;
OCORRÊNCIAS DE PORTE ILEGAL DE ARMA;5;2;3;1;...;...;...;...;...;...;...;...;11;
Nº DE ARMAS DE FOGO APREENDIDAS;17;5;11;24;...;...;...;...;...;...;...;...;57;
Nº DE FLAGRANTES LAVRADOS;135;135;125;147;...;...;...;...;...;...;...;...;542;
Nº DE INFRATORES APREENDIDOS EM FLAGRANTE;2;8;10;14;...;...;...;...;...;...;...;...;34;
Nº DE INFRATORES APREENDIDOS POR MANDADO;1;6;10;1;...;...;...;...;...;...;...;...;18;
Nº DE PESSOAS PRESAS EM FLAGRANTE;156;154;142;165;...;...;...;...;...;...;...;...;617;
Nº DE PESSOAS PRESAS POR MANDADO;223;181;81;177;...;...;...;...;...;...;...;...;662;
Nº DE PRISÕES EFETUADAS;231;208;212;228;...;...;...;...;...;...;...;...;879;
Nº DE VEÍCULOS RECUPERADOS;84;61;42;53;...;...;...;...;...;...;...;...;240;
TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS;404;452;426;343;...;...;...;...;...;...;...;...;1.625;
