Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
OCORRÊNCIAS DE PORTE DE ENTORPECENTES;1;1;1;2;;;;;;;;;5;
OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES;4;2;3;1;;;;;;;;;10;
OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1);0;1;0;0;;;;;;;;;1;
OCORRÊNCIAS DE PORTE ILEGAL DE ARMA;0;0;0;0;;;;;;;;;0;
Nº DE ARMAS DE FOGO APREENDIDAS;0;0;0;1;;;;;;;;;1;
Nº DE FLAGRANTES LAVRADOS;4;3;3;2;;;;;;;;;12;
Nº DE INFRATORES APREENDIDOS EM FLAGRANTE;0;0;0;0;;;;;;;;;0;
Nº DE INFRATORES APREENDIDOS POR MANDADO;0;0;0;1;;;;;;;;;1;
Nº DE PESSOAS PRESAS EM FLAGRANTE;5;3;3;2;;;;;;;;;13;
Nº DE PESSOAS PRESAS POR MANDADO;1;4;1;2;;;;;;;;;8;
Nº DE PRISÕES EFETUADAS;5;7;4;4;;;;;;;;;20;
Nº DE VEÍCULOS RECUPERADOS;2;1;2;2;;;;;;;;;7;
TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS;12;15;13;44;;;;;;;;;84;
