Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
OCORRÊNCIAS DE PORTE DE ENTORPECENTES;197;217;287;210;...;...;...;...;...;...;...;...;911;
OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES;392;327;332;293;...;...;...;...;...;...;...;...;1.344;
OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1);42;52;63;54;...;...;...;...;...;...;...;...;211;
OCORRÊNCIAS DE PORTE ILEGAL DE ARMA;21;32;38;40;...;...;...;...;...;...;...;...;131;
Nº DE ARMAS DE FOGO APREENDIDAS;82;64;93;99;...;...;...;...;...;...;...;...;338;
Nº DE FLAGRANTES LAVRADOS;688;676;679;653;...;...;...;...;...;...;...;...;2.696;
Nº DE INFRATORES APREENDIDOS EM FLAGRANTE;73;95;79;83;...;...;...;...;...;...;...;...;330;
Nº DE INFRATORES APREENDIDOS POR MANDADO;23;45;50;30;...;...;...;...;...;...;...;...;148;
Nº DE PESSOAS PRESAS EM FLAGRANTE;791;761;773;749;...;...;...;...;...;...;...;...;3.074;
Nº DE PESSOAS PRESAS POR MANDADO;676;735;679;744;...;...;...;...;...;...;...;...;2.834;
Nº DE PRISÕES EFETUADAS;1.232;1.303;1.377;1.293;...;...;...;...;...;...;...;...;5.205;
Nº DE VEÍCULOS RECUPERADOS;288;238;234;251;...;...;...;...;...;...;...;...;1.011;
TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS;2.722;2.534;2.955;2.420;...;...;...;...;...;...;...;...;10.631;
